iter	SMAPE	RMSE
0	65.50041709	10792.93043
1	64.61453698	10600.75124
2	63.91169909	10448.03846
3	63.10397431	10292.6199
4	62.36376844	10144.6407
5	61.54042808	9975.13473
6	60.84216578	9845.455695
7	60.2709824	9728.506222
8	59.75974027	9621.23329
9	59.3945905	9539.287598
10	58.77778153	9421.764911
11	58.31584297	9342.298602
12	57.74486391	9250.117895
13	57.07988621	9142.099326
14	56.52650875	9055.805053
15	56.04431809	8977.816716
16	55.48535454	8893.319478
17	55.0225772	8834.533083
18	54.44208268	8744.65058
19	54.07505314	8700.157891
20	53.60344286	8637.452682
21	52.98836413	8546.400158
22	52.49297645	8483.767859
23	52.06884074	8432.117279
24	51.51027888	8341.919453
25	51.199069	8300.316366
26	50.98118067	8276.152969
27	50.64975162	8238.022059
28	50.35194641	8189.621444
29	49.9457138	8133.236758
30	49.58648745	8087.607747
31	49.39815264	8046.031356
32	49.12214664	8010.901052
33	49.02790347	7986.387716
34	48.51556892	7921.247585
35	48.21469803	7886.189917
36	47.94321317	7856.286742
37	47.70167765	7829.556651
38	47.36723799	7793.167095
39	47.11237661	7771.484609
40	46.92310257	7752.754441
41	46.9057884	7739.435094
42	46.64105142	7710.480979
43	46.38724424	7688.861075
44	46.12737789	7669.839854
45	45.86549613	7635.264674
46	45.69872335	7617.785538
47	45.48805048	7599.942167
48	45.36797543	7584.062087
49	45.15480389	7567.791247
50	45.12901689	7557.04738
51	44.94825222	7535.491072
52	44.63696487	7496.134177
53	44.37849554	7450.736226
54	44.06066	7411.647782
55	43.9347559	7401.681948
56	43.8331783	7390.629721
57	43.67028286	7372.180252
58	43.46870311	7348.027027
59	43.31817967	7335.588354
60	43.26138453	7315.167196
61	43.18076445	7308.400328
62	43.03833805	7296.338083
63	43.03021923	7296.263377
64	43.00055671	7289.097329
65	42.90025849	7277.224557
66	42.75268914	7247.762991
67	42.60341387	7228.226119
68	42.46049474	7198.134608
69	42.4221772	7191.250551
70	42.32304045	7168.402088
71	42.24661562	7161.21507
72	42.12086572	7134.173084
73	41.9953752	7100.07516
74	41.9047571	7081.083747
75	41.61853606	7045.7771
76	41.59609566	7039.211656
77	41.49470448	7020.163561
78	41.40686526	7010.021811
79	41.37212324	7004.505219
80	41.31279055	6996.096471
81	41.2667768	6990.479699
82	41.0324144	6953.385258
83	40.98333988	6948.154269
84	40.88754312	6935.846728
85	40.63968609	6911.657685
86	40.56994146	6904.590706
87	40.35154876	6873.015854
88	40.3375688	6871.333996
89	40.11889378	6850.035773
90	40.09013889	6839.402284
91	39.98486738	6829.406618
92	39.9789625	6817.971296
93	39.8927013	6808.806452
94	39.66517342	6778.750169
95	39.52861258	6757.92445
96	39.49512723	6755.051471
97	39.38358483	6744.885407
98	39.29394594	6731.551301
99	39.22955375	6724.578148
100	39.11641227	6702.476048
101	38.94426549	6667.205512
102	38.93225621	6661.452859
103	38.8974138	6657.073098
104	38.83225934	6647.927502
105	38.71684686	6636.406712
106	38.66883898	6627.74888
107	38.42825817	6588.663574
108	38.35737714	6574.323877
109	38.19656984	6549.222625
110	38.0742679	6525.065662
111	38.06499223	6516.234007
112	38.01142941	6511.088449
113	37.9090451	6488.545077
114	37.88153217	6485.543081
115	37.73090162	6471.742303
116	37.67759555	6465.6013
117	37.55808792	6437.554595
118	37.39103955	6422.687341
119	37.39177777	6420.673502
120	37.39663135	6414.116311
121	37.33847503	6411.243213
122	37.27580727	6401.648429
123	37.24290554	6398.883297
124	37.18419587	6387.319062
125	37.08443823	6367.908507
126	37.00895279	6360.060347
127	36.96617928	6355.542951
128	36.92508108	6349.555005
129	36.85069638	6346.788816
130	36.7775089	6334.347321
131	36.7079462	6314.528002
132	36.64652791	6307.036824
133	36.62570042	6304.277801
134	36.50264902	6297.255699
135	36.49480236	6295.738211
136	36.41426385	6289.440287
137	36.39258562	6285.952936
138	36.31415693	6280.977504
139	36.15823152	6251.293617
140	36.14833947	6250.439062
141	36.10076727	6245.410527
142	36.1006202	6245.123245
143	36.05664068	6235.233319
144	36.01462901	6232.241708
145	36.05417298	6229.726857
146	35.9356245	6206.4399
147	35.86618747	6197.210402
148	35.82316318	6189.258055
149	35.84988628	6185.11484
150	35.78085046	6176.501803
151	35.75307274	6174.697419
152	35.72902731	6171.66794
153	35.74609056	6168.807991
154	35.71678218	6153.677618
155	35.65656055	6136.072173
156	35.65277398	6132.001097
157	35.7049086	6129.577691
158	35.77493222	6123.158491
159	35.73406768	6119.467808
160	35.62516023	6104.318211
161	35.61265869	6093.799205
162	35.52782507	6081.563043
163	35.50264803	6074.117772
164	35.53749458	6069.464287
165	35.50080395	6064.078062
166	35.46853298	6057.341285
167	35.43519491	6050.968
168	35.3737683	6032.338488
169	35.43424842	6029.967671
170	35.37967446	6020.965642
171	35.43424137	6018.014545
172	35.49596703	6015.794857
173	35.44845375	6001.784452
174	35.38428398	5977.074334
175	35.35404602	5974.083573
176	35.37438142	5964.915473
177	35.24242191	5945.710532
178	35.23850088	5945.02847
179	35.18396376	5939.215372
180	35.16937105	5936.731399
181	35.15864309	5933.325809
182	35.17093113	5928.096176
183	35.17043359	5924.270284
184	35.15655252	5922.73877
185	35.15427723	5920.388876
186	35.15671696	5918.874703
187	35.22924863	5916.99697
188	35.25125581	5909.097371
189	35.15758834	5895.918187
190	35.15794459	5892.165255
191	35.13635262	5888.998809
192	35.13860089	5885.622139
193	35.17205183	5875.328434
194	35.18161292	5872.007915
195	35.1824923	5869.343135
196	35.16721937	5863.781021
197	35.15688077	5860.732732
198	35.18846091	5856.253595
199	35.18847184	5853.672151
200	35.17794768	5850.815057
201	35.18434231	5850.558392
202	35.08806812	5840.577792
